id,project_code,price_quot_number,po_so_number,asn_dn,country,managed_by,fulfill_via,vendor_inco_term,shipment_mode,pq_first_sent_to_client_date,po_sent_to_vendor_date,scheduled_delivery_date,delivered_to_client_date,delivery_recorded_date,late_deliveries,product_group,sub_classification,vendor,item_description,molecule_test_type,brand,dosage,dosage_form,unit_of_measure_per_pack,line_item_quantity,line_item_value,pack_price,unit_price,manufacturing_site,first_line_designation,weight_in_kgs,freight_cost_in_usd,line_item_insurance_in_usd
62024,108-VN-T30,FPQ-15692,SCMS-274360,ASN-32780,Vietnam,"PMO - US","Direct Drop",EXW,Air,2015-01-28,2015-02-17,2015-07-30,2015-07-30,2015-07-30,0,ARV,Adult,"MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES)","Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,"Tablet - FDC",60,17584,142430.40,8.10,0.13,"Mylan (formerly Matrix) Nashik",Yes,2446.000,4559.25,167.64
62032,101-CD-T30,FPQ-16001,SCMS-280220,ASN-32231,"Congo, DRC","PMO - US","Direct Drop",EXW,Air,2015-03-10,2015-03-17,2015-07-23,2015-07-23,2015-07-29,0,HRDT,"HIV test","Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,NULL,"Test kit",100,51,4080.00,80.00,0.80,"Alere Medical Co., Ltd.",No,NULL,NULL,4.80
62037,108-VN-T30,FPQ-15692,SCMS-274390,ASN-32265,Vietnam,"PMO - US","Direct Drop",EXW,Air,2015-01-28,2015-02-17,2015-07-10,2015-07-10,2015-07-10,0,ARV,Adult,"HETERO LABS LIMITED","Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,300mg,Tablet,60,1400,15330.00,10.95,0.18,"Hetero Unit III Hyderabad IN",No,NULL,NULL,18.04
62046,104-CI-T30,FPQ-12806,SCMS-207150,ASN-23970,"Côte d'Ivoire","PMO - US","Direct Drop",FCA,Air,2013-08-09,2013-09-17,2014-02-07,2014-02-07,2014-02-10,0,ARV,Pediatric,"ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV)","Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,80/20mg/ml,"Oral solution",300,540,16642.80,30.82,0.10,"ABBVIE (Abbott) Logis. UK",Yes,519.000,5385.37,20.59
62047,161-ZA-T30,FPQ-5303,SCMS-68981,ASN-8464,"South Africa","PMO - US","Direct Drop",DDP,Air,2010-03-18,2010-03-19,2010-12-08,2010-12-08,2010-12-08,0,ARV,Adult,"Aurobindo Pharma Limited","Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,16383,47838.36,2.92,0.05,"Aurobindo Unit III, India",Yes,1935.000,5159.33,103.14
62059,104-CI-T30,FPQ-6183,SCMS-83692,ASN-11129,"Côte d'Ivoire","PMO - US","Direct Drop",CIP,Air,2010-08-10,2010-09-10,2011-07-01,2011-07-01,2011-07-01,0,ARV,Adult,"MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.)","Indinavir 400mg [Crixivan], capsules, 180 Caps",Indinavir,Crixivan,400mg,Capsule,180,922,46100.00,50.00,0.28,"MSD, Haarlem, NL",No,NULL,NULL,99.39
62077,106-HT-T30,FPQ-15038,SCMS-262980,ASN-30463,Haiti,"PMO - US","Direct Drop",EXW,Ocean,2014-10-22,2015-01-07,2015-04-09,2015-04-09,2015-04-13,0,ARV,Adult,"HETERO LABS LIMITED","Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs","Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate",Generic,600/300/300mg,"Tablet - FDC",30,39015,399903.75,10.25,0.34,"Hetero Unit III Hyderabad IN",No,NULL,NULL,411.10
62079,102-MW-T30,FPQ-9454,SCMS-141440,ASN-14813,Malawi,"PMO - US","Direct Drop",EXW,Air,2012-03-12,2012-03-28,2012-05-21,2012-05-21,2012-05-21,0,HRDT,"HIV test","Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,NULL,"Test kit",20,66,2112.00,32.00,1.60,"Trinity Biotech, Plc",Yes,29.000,732.72,2.96
62107,108-VN-T30,FPQ-9001,SCMS-131650,ASN-14875,Vietnam,"PMO - US","Direct Drop",EXW,Air,2011-12-15,2012-01-18,2012-06-05,2012-06-05,2012-06-05,0,ARV,Pediatric,"Aurobindo Pharma Limited","Lamivudine 10mg/ml, oral solution w/syringe, Bottle, 240 ml",Lamivudine,Generic,10mg/ml,"Oral solution",240,300,555.00,1.85,0.01,"Aurobindo Unit III, India",No,NULL,NULL,0.78
62113,104-CI-T30,FPQ-6183,SCMS-83690,ASN-11128,"Côte d'Ivoire","PMO - US","Direct Drop",CIP,Air,2010-08-10,2010-09-10,2011-07-01,2011-07-01,2011-07-01,0,ARV,Pediatric,"MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.)","Efavirenz 30mg/ml [Stocrin/Sustiva], oral solution, Bottle, 180 ml",Efavirenz,Stocrin/Sustiva,30mg/ml,"Oral solution",180,5196,88124.16,16.96,0.09,"MSD, Haarlem, NL",Yes,1489.000,2093.31,190.00
